,Sales_in_thousands,four_year_resale_value,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Power_perf_factor,Manufacturer_Audi,Manufacturer_BMW,Manufacturer_Buick,Manufacturer_Cadillac,Manufacturer_Chevrolet,Manufacturer_Chrysler,Manufacturer_Dodge,Manufacturer_Ford,Manufacturer_Honda,Manufacturer_Hyundai,Manufacturer_Infiniti,Manufacturer_Jaguar,Manufacturer_Jeep,Manufacturer_Lexus,Manufacturer_Lincoln,Manufacturer_Mercedes_B,Manufacturer_Mercury,Manufacturer_Mitsubishi,Manufacturer_Nissan,Manufacturer_Oldsmobile,Manufacturer_Plymouth,Manufacturer_Pontiac,Manufacturer_Porsche,Manufacturer_Saab,Manufacturer_Saturn,Manufacturer_Subaru,Manufacturer_Toyota,Manufacturer_Volkswagen,Manufacturer_Volvo,Vehicle_type_Passenger,ln_sales_in_thousands
Fuel_efficiency,0.07099441071497443,-0.42080700219950495,-0.5477032097785156,-0.7629466601480379,-0.6186866367811347,-0.4998824335041315,-0.5954289016232761,-0.42224043479655343,-0.8355503147131057,-0.8296731669888904,1.0,-0.6180811837943658,-0.015406557734480884,0.04346713683400692,0.019663804739292353,-0.145486792389573,0.2120225314076544,0.03423423884709591,-0.23174164736604683,-0.06608594314818336,0.05648380896911315,0.137665048143587,0.024934373933624274,-0.05611878882686403,-0.18025290252624623,-0.1481280303126331,-0.15670342469885115,-0.020285897929095936,-0.0051869380315887085,-0.049880553934990746,-0.08112246671989598,-0.03235011351280325,0.06058577676430632,0.0536711587900179,-0.06250551338927088,-0.022121728205578506,0.3043568197275006,0.021001640701498566,0.09066738175412813,0.12093755515756842,0.036854559698130326,0.5973795014708057,0.13783375637148143
Power_perf_factor,-0.32647512351029184,0.7328333312808499,0.9164614418475796,0.7995920928314187,0.9924133073738356,0.32495451014054033,0.5264404304760043,0.39379989365759965,0.6536867921382195,0.5713424430658373,-0.6180811837943658,1.0,0.10178902481572884,0.015191249614639652,0.053844829051835644,0.24029658298931456,-0.08890495920125385,0.017386543573503246,-0.007458866037002746,-0.08691991269919848,-0.08818346304535264,-0.1592945338940964,0.054989023108011105,0.08859528451326151,-0.047794358404647304,0.24383474723256796,0.20442374281762105,0.2682970905867642,-0.08351867027138181,-0.081953306191714,-0.06828435835486142,0.012789073475258537,-0.056693695888490485,-0.011294823915736144,0.2601861744005887,-0.008480362068898045,-0.2200735190608343,-0.04518169968586456,-0.11162185491056585,-0.22689328205814419,0.004014256873123562,-0.012568869308625833,-0.42899287160713573
Manufacturer_Audi,-0.10471807567833717,0.20540840058953322,0.129429958832699,-0.015607897868352648,0.09309801323668924,0.016398965303088816,0.06578851176627334,0.021569198894624456,0.027370996896423288,0.07144954601167035,-0.015406557734480884,0.10178902481572884,1.0,-0.01948051948051965,-0.022567556955543286,-0.025314157340492135,-0.034418398925954795,-0.0301511344577767,-0.03831070831790989,-0.03831070831790989,-0.02531415734049213,-0.01948051948051963,-0.011174753906691965,-0.011174753906691965,-0.019480519480519626,-0.02782194056332857,-0.019480519480519622,-0.03441839892595497,-0.02782194056332859,-0.030151134457776695,-0.030151134457776663,-0.027821940563328606,-0.022567556955543334,-0.02782194056332862,-0.0194805194805196,-0.01585438556627552,-0.025314157340492152,-0.015854385566275508,-0.03441839892595512,-0.027821940563328623,-0.027821940563328623,0.08297804542942087,-0.13146925094718434
Manufacturer_BMW,-0.09835552541698557,0.20202356720165,0.08234564079980126,-0.049101043478259554,0.0012315675503439358,0.027813678159727056,-0.07664022504730793,-0.07688706027760074,-0.02025220202891247,-0.022675368794836812,0.04346713683400692,0.015191249614639652,-0.01948051948051965,1.0,-0.022567556955543286,-0.02531415734049213,-0.0344183989259548,-0.030151134457776695,-0.03831070831790989,-0.03831070831790989,-0.02531415734049213,-0.019480519480519626,-0.011174753906691965,-0.011174753906691964,-0.019480519480519626,-0.02782194056332857,-0.019480519480519622,-0.034418398925954975,-0.02782194056332858,-0.03015113445777669,-0.030151134457776653,-0.027821940563328606,-0.022567556955543328,-0.02782194056332862,-0.019480519480519598,-0.015854385566275518,-0.02531415734049216,-0.015854385566275504,-0.03441839892595513,-0.027821940563328623,-0.027821940563328623,0.08297804542942089,-0.07457042798328205
Manufacturer_Buick,0.05336284875068708,-0.04296102613971531,0.005472143455345417,0.096935214992834,0.06563948866400864,0.08667128394163147,0.10607086479483635,0.1463259677621359,0.05411840097662838,-0.0017740386144910192,0.019663804739292353,0.053844829051835644,-0.022567556955543286,-0.022567556955543286,1.0,-0.029325639294907318,-0.03987261114144494,-0.034929122133039114,-0.04438172672121029,-0.04438172672121028,-0.029325639294907453,-0.022567556955543362,-0.012945593956343537,-0.01294559395634354,-0.022567556955543352,-0.03223082571820159,-0.022567556955543324,-0.03987261114144498,-0.032230825718201565,-0.03492912213303902,-0.034929122133038955,-0.032230825718201524,-0.026143790849673235,-0.03223082571820151,-0.022567556955543206,-0.018366797128785913,-0.029325639294907682,-0.018366797128785906,-0.039872611141444976,-0.03223082571820147,-0.03223082571820146,0.09612740400278891,0.09456402628888277
Manufacturer_Cadillac,-0.09889401686947505,0.15066098826189828,0.2213182910770759,0.2640166497724785,0.24494534455991132,0.1254895571400055,0.17503323245623076,0.1853672646515053,0.19110511490721585,0.10955288382465862,-0.145486792389573,0.24029658298931456,-0.025314157340492135,-0.02531415734049213,-0.029325639294907318,1.0,-0.04472533531206549,-0.03918019549846872,-0.04978323597351089,-0.04978323597351079,-0.032894736842105386,-0.025314157340492117,-0.014521146569944075,-0.014521146569944075,-0.025314157340492114,-0.03615350102147958,-0.02531415734049211,-0.04472533531206533,-0.03615350102147961,-0.03918019549846893,-0.03918019549846899,-0.036153501021479635,-0.02932563929490768,-0.03615350102147966,-0.025314157340492104,-0.020602141085758204,-0.032894736842105345,-0.020602141085758214,-0.04472533531206523,-0.03615350102147973,-0.036153501021479746,0.025247217316078565,-0.08113913221128138
Manufacturer_Chevrolet,0.087572996457697,-0.1305800442436446,-0.13841901085875102,-0.0025672765401021512,-0.08093023204509564,-0.11931760982757524,-0.0627114518882002,-0.03910120775800464,-0.16183347595124947,-0.1669981177855263,0.2120225314076544,-0.08890495920125385,-0.034418398925954795,-0.0344183989259548,-0.03987261114144494,-0.04472533531206549,1.0,-0.053271360390343116,-0.06768778642378243,-0.06768778642378236,-0.04472533531206544,-0.03441839892595487,-0.0197436797434746,-0.0197436797434746,-0.03441839892595488,-0.04915611465907921,-0.03441839892595489,-0.060810810810810995,-0.049156114659079306,-0.05327136039034311,-0.05327136039034312,-0.04915611465907943,-0.039872611141445004,-0.049156114659079486,-0.034418398925954996,-0.028011705113493227,-0.044725335312065205,-0.02801170511349322,-0.060810810810810884,-0.04915611465907961,-0.049156114659079646,0.14660653544387178,0.10607050632146058
Manufacturer_Chrysler,-0.08609334375955684,-0.048614697366557984,-0.04836430954825667,-0.04927072420766831,0.03503219028818466,0.05783243759644672,0.055786144992848466,0.14000976032987092,-0.021868892606638123,-0.07080101861068672,0.03423423884709591,0.017386543573503246,-0.0301511344577767,-0.030151134457776695,-0.034929122133039114,-0.03918019549846872,-0.053271360390343116,1.0,-0.059295714306852834,-0.05929571430685275,-0.03918019549846883,-0.030151134457776622,-0.017295817388759096,-0.01729581738875909,-0.030151134457776615,-0.04306163763446072,-0.030151134457776615,-0.053271360390343185,-0.043061637634460734,-0.0466666666666665,-0.04666666666666651,-0.04306163763446071,-0.03492912213303897,-0.04306163763446071,-0.030151134457776525,-0.024538755828982267,-0.03918019549846903,-0.024538755828982253,-0.05327136039034321,-0.04306163763446069,-0.04306163763446068,0.0581738463877054,-0.018732567617124725
Manufacturer_Dodge,0.1670240263678233,-0.0916323601868529,-0.08987110375199348,0.12381743277686574,0.011700107199512208,0.22456210129503487,0.28483169035040967,0.16872445929761568,0.11666412262297615,0.20084453373913821,-0.23174164736604683,-0.007458866037002746,-0.03831070831790989,-0.03831070831790989,-0.04438172672121029,-0.04978323597351089,-0.06768778642378243,-0.059295714306852834,1.0,-0.07534246575342468,-0.04978323597351074,-0.03831070831790985,-0.021976453855442942,-0.021976453855442942,-0.03831070831790984,-0.054715083487674725,-0.038310708317909836,-0.06768778642378213,-0.05471508348767475,-0.05929571430685251,-0.05929571430685236,-0.054715083487674794,-0.04438172672121036,-0.05471508348767481,-0.0383107083179098,-0.031179494037448515,-0.04978323597351053,-0.031179494037448508,-0.06768778642378188,-0.05471508348767486,-0.05471508348767488,-0.17765923948827536,0.09692689203960038
Manufacturer_Ford,0.45443009155854225,-0.1425749499269764,-0.12930901918364537,0.08051125081813928,-0.07701419037477746,0.16946157871233147,0.13568610536488235,0.16291943377345489,0.041119403437921746,0.09155422797841133,-0.06608594314818336,-0.08691991269919848,-0.03831070831790989,-0.03831070831790989,-0.04438172672121028,-0.04978323597351079,-0.06768778642378236,-0.05929571430685275,-0.07534246575342468,1.0,-0.04978323597351074,-0.03831070831790984,-0.021976453855442942,-0.021976453855442942,-0.038310708317909836,-0.05471508348767472,-0.038310708317909836,-0.06768778642378212,-0.054715083487674745,-0.05929571430685251,-0.05929571430685235,-0.054715083487674794,-0.04438172672121035,-0.05471508348767481,-0.038310708317909795,-0.031179494037448508,-0.04978323597351053,-0.0311794940374485,-0.06768778642378188,-0.054715083487674857,-0.05471508348767487,-0.1208517026254255,0.33055629009786175
Manufacturer_Honda,0.19079898906777856,-0.030959856616745274,-0.09774455707994714,-0.09737973573857323,-0.08425907941419701,0.007174858885525308,-0.03648729014948624,-0.043019206904663876,-0.012890123301716768,-0.03761984107750273,0.05648380896911315,-0.08818346304535264,-0.02531415734049213,-0.02531415734049213,-0.029325639294907453,-0.032894736842105386,-0.04472533531206544,-0.03918019549846883,-0.04978323597351074,-0.04978323597351074,1.0,-0.025314157340492145,-0.01452114656994407,-0.014521146569944073,-0.025314157340492142,-0.03615350102147962,-0.02531415734049214,-0.0447253353120654,-0.03615350102147964,-0.03918019549846883,-0.039180195498468885,-0.036153501021479684,-0.02932563929490768,-0.036153501021479705,-0.025314157340492135,-0.0206021410857582,-0.03289473684210529,-0.020602141085758214,-0.0447253353120653,-0.03615350102147977,-0.03615350102147979,-0.13991166262660187,0.14744818562263556
Manufacturer_Hyundai,-0.0012046886170166574,-0.19663770170271208,-0.17491479707183225,-0.15436521539510886,-0.15423472514962494,-0.12796357964851185,-0.12547293481196445,-0.12541691852206624,-0.16863769949610832,-0.1331698340024759,0.137665048143587,-0.1592945338940964,-0.01948051948051963,-0.019480519480519626,-0.022567556955543362,-0.025314157340492117,-0.03441839892595487,-0.030151134457776622,-0.03831070831790985,-0.03831070831790984,-0.025314157340492145,1.0,-0.011174753906691938,-0.011174753906691938,-0.019480519480519588,-0.02782194056332852,-0.019480519480519584,-0.03441839892595501,-0.027821940563328533,-0.030151134457776566,-0.030151134457776535,-0.027821940563328557,-0.022567556955543272,-0.027821940563328557,-0.019480519480519563,-0.01585438556627548,-0.025314157340492166,-0.01585438556627547,-0.034418398925955156,-0.02782194056332857,-0.027821940563328575,0.08297804542942092,0.05476671229112694
